name,model,manufacturer
Sand Crawler,Digger Crawler,Corellia Mining Corporation
T-16 skyhopper,T-16 skyhopper,Incom Corporation
X-34 landspeeder,X-34 landspeeder,SoroSuub Corporation
TIE/LN starfighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems
Snowspeeder,t-47 airspeeder,Incom corporation
TIE bomber,TIE/sa bomber,Sienar Fleet Systems
AT-AT,All Terrain Armored Transport,"Kuat Drive Yards, Imperial Department of Military Research"
AT-ST,All Terrain Scout Transport,"Kuat Drive Yards, Imperial Department of Military Research"
Storm IV Twin-Pod cloud car,Storm IV Twin-Pod,Bespin Motors
Sail barge,Modified Luxury Sail Barge,Ubrikkian Industries Custom Vehicle Division
Bantha-II cargo skiff,Bantha-II,Ubrikkian Industries
TIE/IN interceptor,Twin Ion Engine Interceptor,Sienar Fleet Systems
Imperial Speeder Bike,74-Z speeder bike,Aratech Repulsor Company
Vulture Droid,Vulture-class droid starfighter,"Haor Chall Engineering, Baktoid Armor Workshop"
Multi-Troop Transport,Multi-Troop Transport,Baktoid Armor Workshop
Armored Assault Tank,Armoured Assault Tank,Baktoid Armor Workshop
Single Trooper Aerial Platform,Single Trooper Aerial Platform,Baktoid Armor Workshop
C-9979 landing craft,C-9979 landing craft,Haor Chall Engineering
Tribubble bongo,Tribubble bongo,Otoh Gunga Bongameken Cooperative
Sith speeder,FC-20 speeder bike,Razalon
Zephyr-G swoop bike,Zephyr-G swoop bike,Mobquet Swoops and Speeders
Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,Desler Gizh Outworld Mobility Corporation
XJ-6 airspeeder,XJ-6 airspeeder,Narglatch AirTech prefabricated kit
LAAT/i,Low Altitude Assault Transport/infrantry,Rothana Heavy Engineering
LAAT/c,Low Altitude Assault Transport/carrier,Rothana Heavy Engineering
Tsmeu-6 personal wheel bike,Tsmeu-6 personal wheel bike,Z-Gomot Ternbuell Guppat Corporation
Emergency Firespeeder,Fire suppression speeder,NA
Droid tri-fighter,tri-fighter,"Colla Designs, Phlac-Arphocc Automata Industries"
Oevvaor jet catamaran,Oevvaor jet catamaran,Appazanna Engineering Works
Raddaugh Gnasp fluttercraft,Raddaugh Gnasp fluttercraft,Appazanna Engineering Works
Clone turbo tank,HAVw A6 Juggernaut,Kuat Drive Yards
Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,Techno Union
Droid gunship,HMP droid gunship,"Baktoid Fleet Ordnance, Haor Chall Engineering"
AT-RT,All Terrain Recon Transport,Kuat Drive Yards
AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards"
SPHA,Self-Propelled Heavy Artillery,Rothana Heavy Engineering
Flitknot speeder,Flitknot speeder,Huppla Pasa Tisc Shipwrights Collective
Neimoidian shuttle,Sheathipede-class transport shuttle,Haor Chall Engineering
Geonosian starfighter,Nantex-class territorial defense,Huppla Pasa Tisc Shipwrights Collective
